Ort-ID,"Label [generiert, nicht manuell berarbeiten]",Name,Namensvariante,GeoNames,Kategorie,Bemerkungen
place_082,Thurgau,Thurgau,,2658372,,
place_083,Niederlande,Niederlande,,2750405,Land,
place_084,Holland,Holland,,,Land,Region in den Niederlanden
place_085,Wigoltingen,Wigoltingen,,,,
place_086,Kastalische Quelle,Kastalische Quelle,,,Gewässer,Quelle am Fuß des Parnass
place_087,Lägern,Lägern,,2660058,Berg,Höhenrücken in den Kantonen Aargau und Zürich
place_088,Texel,Texel,,2746385,,Insel in den Niederlanden
place_089,Vlieland,Vlieland,,2745420,,Insel in den Niederlanden
place_090,Indien,Indien,,1269750,Land,
place_091,Wien,Wien,,2761369,Stadt,
place_092,Deutschland,Deutschland,,2921044,Land,
place_093,Ölberg,Ölberg,,281573,Berg,
place_094,Dietikon,Dietikon,,7285652,Politische Gemeinde,Politische Gemeinde im Kanton Zürich
place_095,Winterthur,Winterthur,,2657970,Stadt,
place_096,Pfalz,Pfalz,,,Region,
place_097,Edenkoben,Edenkoben,,2933410,Stadt,Stadt im Süden von Rheinland-Pfalz
place_098,Wüste Juda,Wüste Juda,Judäische Wüste,,Region,Halbwüste zwischen Israel und dem Westjordanland
place_099,Greifensee,Greifensee,,7285971,Landvogtei,
place_100,Lichtensteig,Lichtensteig,,7286345,Politische Gemeinde,Politische Gemeinde im Kanton St. Gallen
place_101,Golgotha,Golgotha,"Golgota, Golgata",,Biblischer Ort,Der biblische Ort der Kreuzigung Jesu Christi vor den Toren Jerusalems 
place_102,Heidelberg,Heidelberg,,2907911,Stadt,
place_103,Lindenhofbrunnen,Lindenhofbrunnen,,,Bauwerk,
place_104,Osmanisches Reich,Osmanisches Reich,,,Land,
place_105,Frauenfeld,Frauenfeld,,2660727,Stadt,
place_106,Regensdorf,Regensdorf,,7286870,Politische Gemeinde,Politische Gemeinde im Kanton Zürich
place_107,Leiden,Leiden,,2751773,Stadt,
place_108,,,,,,
place_109,,,,,,
place_110,,,,,,
place_111,,,,,,
place_112,,,,,,
place_113,,,,,,
place_114,,,,,,
place_115,,,,,,
place_116,,,,,,
place_117,,,,,,
place_118,,,,,,
place_119,,,,,,
place_120,,,,,,
place_121,,,,,,
place_122,,,,,,
place_123,,,,,,
place_124,,,,,,
place_125,,,,,,
place_126,,,,,,
place_127,,,,,,
place_128,,,,,,
place_129,,,,,,
place_130,,,,,,
place_131,,,,,,
