Person-ID,"Label [generiert, nicht manuell berarbeiten]",Familienname,Vorname,Geburtsdatum,Sterbedatum,GND,Kurzbeschreibung,Kategorie,Quellen,Bemerkungen
person_276,"Schweizer, Johann Caspar (1619/1620-1684/1688)",Schweizer,Johann Caspar,1619/1620,1684/1688,11565402X,"Pfarrer, Professor für Hebräisch, Katechetik, Griechisch und Latei",Historische Person,https://hls-dhs-dss.ch/de/articles/010844/2011-05-20/,Lebensdaten im HSL stimmen nicht mit Lebensdaten auf Lobid überein
person_277,"Herder, Johann Heinrich (1629-1665)",Herder,Johann Heinrich,1629,1665,1089544901,Pfarrer und Konrektor in der Pfalz,Historische Person,,
person_278,"Elischa,  (-)",Elischa,,,,118688685,Prophet aus dem 2. Buch der Könige,Biblische Figur,,
person_279,"Johannes der Täufer,  (-)",Johannes der Täufer,,,,118557858,Prophet,Biblische Figur,,
person_280,"Caesar, Gaius Iulius (100 v. Chr.-44 v. Chr.)",Caesar,Gaius Iulius,100 v. Chr.,44 v. Chr.,118518275,"Römischer Feldherr, Historiker, Schriftsteller, Politiker",Historische Person,,
person_281,"Helios,  (-)",Helios,,,,119022230,Sonnengott,Mythologische Figur,,
person_282,"Suevus,  (-)",Suevus,,,,,Sagenhafter Gründer von Zürich,Mythologische Figur,Wird auch auf den Wappenscheiben des Klosters Wettingen erwähnt https://als.wikipedia.org/wiki/Wappenscheiben_des_Klosters_Wettingen,
person_283,"Momos,  (-)",Momos,,,,119346842,"Griechischer Gott des Tadels, des Spotts und der Schmähsucht",Mythologische Figur,https://de.wikipedia.org/wiki/Momos,
person_284,"Galatea,  (-)",Galatea,,,,118689231,Nymphe,Mythologische Figur,,
person_285,"Escher vom Luchs‏‎, Hans Heinrich (‎1644-1714)",Escher vom Luchs‏‎,Hans Heinrich,‎1644,1714,,Bruder von Johannes Escher vom Luchs‏‎,Historische Person,http://www.hfls.ch/humo-gen/family/1/F104225?main_person=I298575,"In der Trost-Erinnerung wird auf S. 7 Juncker Hans Heinrich erwähnt, der mit seinem jüngeren Bruder im Rhein baden ging"
person_286,"Agapetus,  (6. Jh.-6. Jh.)",Agapetus,,6. Jh.,6. Jh.,118920898,Diakon,Historische Person,https://de.wikipedia.org/wiki/Agapetos,
person_287,"Justinian I.,  (482-565)",Justinian I.,,482,565,11855896X,Römischer Kaiser,Historische Person,,
person_288,"Theodora I.,  (497-548)",Theodora I.,,497,548,11862170X,Ehefrau Justinians,Historische Person,,
person_289,"Israel,  (-)",Israel,,,,,"Das Volk Israels, Isrealit:innen, Nachkommen von Jakob",Biblische Figur,https://de.wikipedia.org/wiki/Israeliten,
person_290,"Simler, Josias (1530-1576)",Simler,Josias,1530,1576,11879728X,"Theologe, Historiker",Historische Person,https://hls-dhs-dss.ch/de/articles/015794,
person_291,"Waser, Kaspar (1595-1666)",Waser,Kaspar,1595,1666,,3. Ehemann von Magdalena Fäsi,Historische Person,https://hfls.ch/humo-gen/birthday_family/1/F108093,
person_292,"Fäsi, Magdalena (1583-1665)",Fäsi,Magdalena,1583,1665,,3. Ehefrau von Kapar Waser,Historische Person,https://hfls.ch/humo-gen/birthday_family/1/F105238?main_person=I301701,
person_293,"Katharina von Alexandrien,  (-)",Katharina von Alexandrien,,,,118560573,"Heilige, Märtyrerin",Mythologische Figur,,
person_294,"Waser, Hans Heinrich (1633-1696)",Waser,Hans Heinrich,1633,1696,,Sohn von Johann Heinrich Waser,Historische Person,https://www.hfls.ch/humo-gen/family/1/F106407?main_person=I305724,
person_295,"Simeon,  (-)",Simeon,,,,131990330,"Prophet, auch Simeon der Greis genannt",Biblische Figur,https://de.wikipedia.org/wiki/Simeon_(Prophet),
person_296,"M. G. H. H. H. D. J. H. H.,  (-)",M. G. H. H. H. D. J. H. H.,,,,,,Historische Person,,Bisher nicht entschlüsselt
person_297,"Horaz,  (65 v. Chr.-8 v. Chr.)",Horaz,,65 v. Chr.,8 v. Chr.,118553569,Römischer Dichter,Historische Person,,
person_298,"Lavater, Hans Conrad (1609-1703)",Lavater,Hans Conrad,1609,1703,129810452,Hauptmann,Historische Person,https://hls-dhs-dss.ch/de/articles/023963,
person_299,"Josef von Arimathäa,  (-)",Josef von Arimathäa,,,,132697661,Anhänger von Jesus,Biblische Figur,https://de.wikipedia.org/wiki/Josef_von_Arimathäa,
person_300,"Maria Magdalena,  (-)",Maria Magdalena,,,,118577840,"Jüngerin von Jesus, Heilige",Biblische Figur,https://de.wikipedia.org/wiki/Maria_Magdalena,
person_301,"Merib-Baal,  (-)",Merib-Baal,,,,133420558,Sohn von Jonathan und Enkel von Saul,Biblische Figur,https://de.wikipedia.org/wiki/Merib-Baal,
person_302,"Aurora,  (-)",Aurora,,,,119240416,Römische Göttin der Morgenröte,Mythologische Figur,https://de.wikipedia.org/wiki/Eos_(Mythologie),
person_303,",  (-)",,,,,,,,,
person_304,",  (-)",,,,,,,,,
person_305,",  (-)",,,,,,,,,
person_306,",  (-)",,,,,,,,,
person_307,",  (-)",,,,,,,,,
person_308,",  (-)",,,,,,,,,
person_309,",  (-)",,,,,,,,,
person_310,",  (-)",,,,,,,,,
person_311,",  (-)",,,,,,,,,
person_312,",  (-)",,,,,,,,,
person_313,",  (-)",,,,,,,,,
person_314,",  (-)",,,,,,,,,
person_315,",  (-)",,,,,,,,,
